Condition;ID;Time;Survivors
PST3;24;28;7
PST3;25;28;6
PST3;26;28;6
PST3;27;28;4
PST3;28;28;4
PST3;29;28;7
PST3;30;28;7
PST4;31;28;3
PST4;32;28;6
PST4;33;28;5
PST4;34;28;5
PST4;35;28;5
PST4;36;28;0
PST4;37;28;1
PST4;38;28;1
PST4;39;28;3
PST4;40;28;3
PST1+C;41;28;9
PST1+C;42;28;10
PST1+C;43;28;8
PST1+C;44;28;10
PST1+C;45;28;8
PST1+C;46;28;9
PST1+C;47;28;8
PST1+C;48;28;7
PST1+C;49;28;10
PST1+C;50;28;9
PST2+C;51;28;8
PST2+C;52;28;8
PST2+C;53;28;8
PST2+C;54;28;9
PST2+C;55;28;10
PST2+C;56;28;8
PST2+C;57;28;7
PST2+C;58;28;7
PST2+C;59;28;10
PST2+C;60;28;9
PST3+C;61;28;9
PST3+C;62;28;6
PST3+C;63;28;9
PST3+C;64;28;8
PST3+C;65;28;6
PST3+C;66;28;4
PST3+C;67;28;9
PST3+C;68;28;9
PST3+C;69;28;9
PST3+C;70;28;8
PST4+C;71;28;8
PST4+C;72;28;9
PST4+C;73;28;7
PST4+C;74;28;6
PST4+C;75;28;9
PST4+C;76;28;10
PST4+C;77;28;9
PST4+C;78;28;9
PST4+C;79;28;10
PST4+C;80;28;8
C;81;28;8
C;82;28;8
C;83;28;8
C;84;28;8
C;85;28;4
C;86;28;7
C;87;28;5
C;88;28;8
C;89;28;7
C;90;28;9
ST;91;28;5
ST;92;28;4
ST;93;28;1
ST;94;28;4
ST;95;28;5
ST;96;28;7
ST;97;28;1
ST;98;28;3
ST;99;28;4
ST;100;28;8
PST1;1;30;3
PST1;2;30;6
PST1;3;30;5
PST1;4;30;4
PST1;5;30;4
PST1;6;30;3
PST1;7;30;6
PST1;8;30;4
PST1;9;30;3
PST1;10;30;2
PST2;11;30;6
PST2;12;30;4
PST2;13;30;4
PST2;14;30;2
PST2;15;30;3
PST2;16;30;3
PST2;17;30;4
PST2;18;30;4
PST2;19;30;4
PST2;20;30;3
PST3;21;30;5
PST3;22;30;3
PST3;23;30;5
PST3;24;30;7
PST3;25;30;5
